epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.692,0.83629,1.49967,1.32918,0.84544,0.83968,0.89632,0.66372,0.79548,0.76662,1.20647,0.000476146,0.000476146,0.000476146
2,656.786,0.78569,0.92284,1.2608,0.83788,0.83504,0.88207,0.65089,0.82561,0.73076,1.2454,0.000936414,0.000936414,0.000936414
3,1212.06,0.81308,0.77073,1.29897,0.82084,0.78435,0.83313,0.63311,0.79985,0.73172,1.19415,0.00133406,0.00133406,0.00133406
