epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.199,1.44324,1.47031,1.62035,0.6617,0.78801,0.75133,0.47289,1.27296,1.31997,1.69556,0.00066621,0.00066621,0.00066621
2,390.775,1.31972,1.22586,1.5141,0.90664,0.91495,0.96303,0.62594,1.22709,0.83668,1.54027,0.0013104,0.0013104,0.0013104
3,664.462,1.14251,0.83005,1.46496,0.95117,0.91773,0.96899,0.68462,1.07467,0.7142,1.44028,0.00186694,0.00186694,0.00186694
