epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6602,1.10821,1.39143,1.45631,0.66259,0.67791,0.68547,0.44321,0.97784,1.24707,1.41775,0.000544553,0.000544553,0.000544553
2,46.1596,0.991,1.21534,1.41594,0.67649,0.66427,0.68485,0.42912,1.05652,1.16506,1.47014,0.00108439,0.00108439,0.00108439
3,59.2263,1.10208,1.30559,1.45157,0.59944,0.65558,0.64622,0.40845,1.05445,1.28362,1.47646,0.001562,0.001562,0.001562
4,105.537,1.05099,1.35762,1.50638,0.71499,0.56505,0.67558,0.42676,1.09135,1.24645,1.50874,0.00145948,0.00145948,0.00145948
5,118.188,1.04479,1.18079,1.48803,0.69077,0.62212,0.66816,0.42326,1.0846,1.18863,1.51556,0.00131058,0.00131058,0.00131058
6,130.392,0.90744,1.10821,1.40458,0.65893,0.67098,0.67555,0.44749,1.04142,1.13186,1.48329,0.00113444,0.00113444,0.00113444
7,143.218,0.94088,1.19128,1.44618,0.71245,0.70774,0.72772,0.48975,0.95699,1.08207,1.38915,0.000941298,0.000941298,0.000941298
8,156.074,0.95511,1.09856,1.39808,0.71024,0.69368,0.72182,0.48004,0.97534,1.07105,1.39784,0.000742372,0.000742372,0.000742372
9,168.631,0.90535,1.07738,1.39284,0.71704,0.69934,0.72803,0.48884,0.93741,1.04577,1.36436,0.000549227,0.000549227,0.000549227
10,181.423,0.8249,0.9775,1.32512,0.69855,0.70703,0.73269,0.49298,0.91923,1.0467,1.35057,0.000373088,0.000373088,0.000373088
11,195.077,0.8024,1.03549,1.27165,0.72329,0.70357,0.74464,0.49939,0.91836,1.03494,1.35108,0.00022419,0.00022419,0.00022419
12,208.914,0.88557,0.99204,1.39801,0.69255,0.73321,0.74828,0.50561,0.90892,1.01923,1.34194,0.000111188,0.000111188,0.000111188
13,223.3,0.849,0.96762,1.31486,0.69973,0.73101,0.74965,0.507,0.90729,1.01485,1.33771,4.06478e-05,4.06478e-05,4.06478e-05
