epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.905,1.14942,1.66139,1.55806,0.5979,0.61981,0.63093,0.43418,0.94691,1.25908,1.34892,0.000544553,0.000544553,0.000544553
2,41.4041,1.07877,1.42804,1.4962,0.72657,0.61887,0.66025,0.42149,1.06391,1.25326,1.44122,0.00108439,0.00108439,0.00108439
3,53.6884,1.07524,1.32616,1.48497,0.61711,0.5942,0.59584,0.38756,1.01219,1.25221,1.4067,0.001562,0.001562,0.001562
4,97.6514,1.10464,1.53498,1.56074,0.53883,0.5688,0.54789,0.34066,1.08341,1.37166,1.50149,0.00145948,0.00145948,0.00145948
5,109.591,1.00646,1.31616,1.44992,0.6984,0.59175,0.62769,0.39709,1.11463,1.17801,1.5135,0.00131058,0.00131058,0.00131058
6,121.447,1.00572,1.16844,1.48914,0.67899,0.65005,0.67962,0.43771,1.07286,1.22097,1.50689,0.00113444,0.00113444,0.00113444
7,133.48,0.952,1.10892,1.44499,0.68231,0.61886,0.66164,0.4176,1.10084,1.25705,1.54589,0.000941298,0.000941298,0.000941298
8,145.444,0.94635,1.10295,1.4048,0.65475,0.62198,0.65243,0.41876,1.07751,1.14828,1.50942,0.000742372,0.000742372,0.000742372
9,157.751,0.89352,1.04629,1.38247,0.72708,0.62725,0.6864,0.44214,1.02594,1.0817,1.46151,0.000549227,0.000549227,0.000549227
10,170.11,0.88904,0.98318,1.37358,0.70469,0.62911,0.69041,0.44796,1.00757,1.07079,1.44086,0.000373088,0.000373088,0.000373088
11,182.477,0.8724,0.98308,1.35397,0.68182,0.67223,0.7001,0.46542,0.97248,1.04875,1.40208,0.00022419,0.00022419,0.00022419
12,194.88,0.8574,0.94152,1.34554,0.69566,0.66683,0.70482,0.47247,0.9631,1.03491,1.39826,0.000111188,0.000111188,0.000111188
13,207.811,0.82766,0.9391,1.32112,0.71125,0.65144,0.70606,0.47443,0.96192,1.0294,1.39521,4.06478e-05,4.06478e-05,4.06478e-05
